"This sheet contains a data dictionary and defines each Cell by Report Description, Item Description, and  (When Applicable) Column Description. Table Begins in next row.",,,,
"
Cell",Part,Item ,Column,
71,B.  CASELOAD (ALL),8a1. Children in Item 8a cases,C. All Other Families,
72,B.  CASELOAD (ALL),8a1. Children in Item 8a cases,D. TANF Timed-Out,
73,B.  CASELOAD (ALL),8a1. Children in Item 8a cases,E. Safety Net/Fleeing Felon/LTS,
74,B.  CASELOAD (ALL),8a2. Adults in Item 8a cases,A. Two Parent Families,
,B.  CASELOAD (ALL),8a2. Adults in Item 8a cases,B. Zero Parent Families,
75,B.  CASELOAD (ALL),8a2. Adults in Item 8a cases,C. All Other Families,
76,B.  CASELOAD (ALL),8a2. Adults in Item 8a cases,D. TANF Timed-Out,
,B.  CASELOAD (ALL),8a2. Adults in 8a cases,E. Safety Net/Fleeing Felon/LTS,
77,B.  CASELOAD (ALL),8a3. Total persons,A. Two Parent Families,
78,B.  CASELOAD (ALL),8a3. Total persons,B. Zero Parent Families,
79,B.  CASELOAD (ALL),8a3. Total persons,C. All Other Families,
80,B.  CASELOAD (ALL),8a3. Total persons,D. TANF Timed-Out,
81,B.  CASELOAD (ALL),8a3. Total persons,E. Safety Net/Fleeing Felon/LTS,
82,B.  CASELOAD (ALL),8b. Other cases,A. Two Parent Families,
83,B.  CASELOAD (ALL),8b. Other cases,B. Zero Parent Families,
84,B.  CASELOAD (ALL),8b. Other cases,C. All Other Families,
85,B.  CASELOAD (ALL),8b. Other cases,D. TANF Timed-Out,
86,B.  CASELOAD (ALL),8b. Other cases,E. Safety Net/Fleeing Felon/LTS,
87,B.  CASELOAD (ALL),8b1. Children in Item 8b cases,A. Two Parent Families,
88,B.  CASELOAD (ALL),8b1. Children in Item 8b cases,B. Zero Parent Families,
89,B.  CASELOAD (ALL),8b1. Children in Item 8b cases,C. All Other Families,
90,B.  CASELOAD (ALL),8b1. Children in Item 8b cases,D. TANF Timed-Out,
91,B.  CASELOAD (ALL),8b1. Children in Item 8b cases,E. Safety Net/Fleeing Felon/LTS,
92,B.  CASELOAD (ALL),8b2. Adults in Item 8b cases,A. Two Parent Families,
,B.  CASELOAD (ALL),8b2. Adults in Item 8b cases,B. Zero Parent Families,
93,B.  CASELOAD (ALL),8b2. Adults in Item 8b cases,C. All Other Families,
94,B.  CASELOAD (ALL),8b2. Adults in Item 8b cases,D. TANF Timed-Out,
,B.  CASELOAD (ALL),8b2. Adults in 8b cases,E. Safety Net/Fleeing Felon/LTS,
95,B.  CASELOAD (ALL),8b3. Total persons,A. Two Parent Families,
96,B.  CASELOAD (ALL),8b3. Total persons,B. Zero Parent Families,
97,B.  CASELOAD (ALL),8b3. Total persons,C. All Other Families,
98,B.  CASELOAD (ALL),8b3. Total persons,D. TANF Timed-Out,
99,B.  CASELOAD (ALL),8b3. Total persons,E. Safety Net/Fleeing Felon/LTS,
100,B.  CASELOAD (ALL),9. Cases discontinued during the month,A. Two Parent Families,
101,B.  CASELOAD (ALL),9. Cases discontinued during the month,B. Zero Parent Families,
102,B.  CASELOAD (ALL),9. Cases discontinued during the month,C. All Other Families,
103,B.  CASELOAD (ALL),9. Cases discontinued during the month,D. TANF Timed-Out,
104,B.  CASELOAD (ALL),9. Cases discontinued during the month,E. Safety Net/Fleeing Felon/LTS,
105,B.  CASELOAD (ALL),10. Cases deducted due to transfers to another program segment ,A. Two Parent Families,
106,B.  CASELOAD (ALL),10. Cases deducted due to transfers to another program segment ,B. Zero Parent Families,
107,B.  CASELOAD (ALL),10. Cases deducted due to transfers to another program segment ,C. All Other Families,
108,B.  CASELOAD (ALL),10. Cases deducted due to transfers to another program segment ,D. TANF Timed-Out,
109,B.  CASELOAD (ALL),10. Cases deducted due to transfers to another program segment ,E. Safety Net/Fleeing Felon/LTS,
110,B.  CASELOAD (ALL),11. Cases added due to transfers from another program segment,A. Two Parent Families,
111,B.  CASELOAD (ALL),11. Cases added due to transfers from another program segment,B. Zero Parent Families,
112,B.  CASELOAD (ALL),11. Cases added due to transfers from another program segment,C. All Other Families,
113,B.  CASELOAD (ALL),11. Cases added due to transfers from another program segment,D. TANF Timed-Out,
114,B.  CASELOAD (ALL),11. Cases added due to transfers from another program segment,E. Safety Net/Fleeing Felon/LTS,
115,B.  CASELOAD (ALL),12. Cases open at the end of the month,A. Two Parent Families,
116,B.  CASELOAD (ALL),12. Cases open at the end of the month,B. Zero Parent Families,
117,B.  CASELOAD (ALL),12. Cases open at the end of the month,C. All Other Families,
118,B.  CASELOAD (ALL),12. Cases open at the end of the month,D. TANF Timed-Out,
119,B.  CASELOAD (ALL),12. Cases open at the end of the month,E. Safety Net/Fleeing Felon/LTS,
120,C.  SAFETY NET (SN),13. Cases open during the month,A. Two Parent Families,
121,C.  SAFETY NET (SN),13. Cases open during the month,C. All Other Families,
122,C.  SAFETY NET (SN),13a. Cases receiving cash grant,A. Two Parent Families,
123,C.  SAFETY NET (SN),13a. Cases receiving cash grant,C. All Other Families,
124,C.  SAFETY NET (SN),13a1. Children in Item 13a cases,A. Two Parent Families,
125,C.  SAFETY NET (SN),13a1. Children in Item 13a cases,C. All Other Families,
126,C.  SAFETY NET (SN),13b. Other cases,A. Two Parent Families,
127,C.  SAFETY NET (SN),13b. Other cases,C. All Other Families,
128,C.  SAFETY NET (SN),13b1. Children in Item 13b cases,A. Two Parent Families,
129,C.  SAFETY NET (SN),13b1. Children in Item 13b cases,C. All Other Families,
130,D.  FLEEING FELON (FF),14. Cases open during the month,A. Two Parent Families,
131,D.  FLEEING FELON (FF),14. Cases open during the month,C. All Other Families,
132,D.  FLEEING FELON (FF),14a. Cases receiving cash grant,A. Two Parent Families,
133,D.  FLEEING FELON (FF),14a. Cases receiving cash grant,C. All Other Families,
134,D.  FLEEING FELON (FF),14a1.  Children in Item 14a cases,A. Two Parent Families,
135,D.  FLEEING FELON (FF),14a1.  Children in Item 14a cases,C. All Other Families,
136,D.  FLEEING FELON (FF),14b.  Other cases,A. Two Parent Families,
137,D.  FLEEING FELON (FF),14b.  Other cases,C. All Other Families,
138,D.  FLEEING FELON (FF),14b1.  Children in Item 14b cases,A. Two Parent Families,
139,D.  FLEEING FELON (FF),14b1.  Children in Item 14b cases,C. All Other Families,
140,E.  LONG-TERM SANCTION (LTS),15.  Cases open during the month,A. Two Parent Families,
141,E.  LONG-TERM SANCTION (LTS),15.  Cases open during the month,C. All Other Families,
142,E.  LONG-TERM SANCTION (LTS),15a.  Cases receiving cash grant,A. Two Parent Families,
143,E.  LONG-TERM SANCTION (LTS),15a.  Cases receiving cash grant,C. All Other Families,
144,E.  LONG-TERM SANCTION (LTS),15a1.  Children in Item 15a cases,A. Two Parent Families,
145,E.  LONG-TERM SANCTION (LTS),15a1.  Children in Item 15a cases,C. All Other Families,
146,E.  LONG-TERM SANCTION (LTS),15b.  Other cases during the month,A. Two Parent Families,
147,E.  LONG-TERM SANCTION (LTS),15b.  Other cases during the month,C. All Other Families,
148,E.  LONG-TERM SANCTION (LTS),15b1.  Children in Item 15b cases,A. Two Parent Families,
149,E.  LONG-TERM SANCTION (LTS),15b1.  Children in Item 15b cases,C. All Other Families,
